"Rooms","Type","Price","Distance","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount"
2,"u",813000,11.2,1,2,108,142.750486439547,1972.08863599849,"Boroondara City Council",-37.8276,145.1023,"Southern Metropolitan","5457"
3,"h",1205000,11.2,1,2,490,164.485572138427,1956.28177080535,"Boroondara City Council",-37.8361,145.1006,"Southern Metropolitan","5457"
2,"h",1035000,2.5,1,0,156,79,1900,"Yarra City Council",-37.8079,144.9934,"Northern Metropolitan","4019"
2,"t",720000,13.8,1,2,292,125,2013,"Hobsons Bay City Council",-37.8687,144.8197,"Western Metropolitan","5301"
3,"h",1222500,13,2,2,299,181,2000,"Glen Eira City Council",-37.9272,145.0406,"Southern Metropolitan","6795"
3,"h",1151000,11.7,1,1,695,162.121718173682,1957.50427588201,"Monash City Council",-37.8551,145.1121,"Southern Metropolitan","5678"
3,"h",1755000,11.7,1,1,931,145,1970,"Monash City Council",-37.854,145.1195,"Southern Metropolitan","5678"
4,"h",890000,13.6,3,2,288,158,2014,"Monash City Council",-37.8801,145.1051,"Southern Metropolitan","3582"
3,"h",675000,7.8,1,2,142,123,2005,"Darebin City Council",-37.7382,144.973,"Northern Metropolitan","11204"
3,"t",1395000,7.7,2,1,400,126,1996,"Port Phillip City Council",-37.8829,144.9797,"Southern Metropolitan","8989"
3,"h",911000,8,2,2,225,98,2008,"Moonee Valley City Council",-37.7454,144.8987,"Western Metropolitan","9264"
1,"u",216000,6.4,1,1,0,50,1970,"Maribyrnong City Council",-37.7907,144.8924,"Western Metropolitan","7570"
3,"h",1200000,9.2,1,1,589,164.275548149848,1956.40524231729,"Maribyrnong City Council",-37.7863,144.881,"Western Metropolitan","3873"
2,"h",927000,9.2,1,4,524,139,1965.2405031858,"Maribyrnong City Council",-37.779,144.8832,"Western Metropolitan","3873"
3,"t",560000,8.7,2,2,77,115,2004,"Maribyrnong City Council",-37.7746,144.8798,"Western Metropolitan","4918"
3,"t",560000,8.7,2,2,83,114.11138478009,2000,"Maribyrnong City Council",-37.7719,144.8815,"Western Metropolitan","4918"
2,"u",750000,11.8,2,2,0,80,2003,"Boroondara City Council",-37.8161,145.1098,"Eastern Metropolitan","2079"
3,"h",1417250,14.6,2,2,653,180,1950,"Kingston City Council",-37.9418,145.0549,"Southern Metropolitan","2555"
4,"h",876000,14.7,2,1,535,146.982384871168,1968.09711384729,"Kingston City Council",-37.9384,145.0878,"South-Eastern Metropolitan","3692"
2,"u",550000,3.8,1,1,0,57,2012,"Melbourne City Council",-37.8408,144.94,"Southern Metropolitan","8648"
3,"h",1102000,2.6,2,0,194,159.78124676872,1958.56923624609,"Yarra City Council",-37.8265,145.0022,"Northern Metropolitan","14949"
3,"u",930000,11.2,2,2,252,150.357685836119,1992,"Boroondara City Council",-37.8344,145.1114,"Southern Metropolitan","5457"
2,"t",805000,6.5,1,2,164,95,2009,"Darebin City Council",-37.7536,144.9825,"Northern Metropolitan","8870"
2,"h",890000,7,1,0,166,147.875993105226,1920,"Maribyrnong City Council",-37.8209,144.8913,"Western Metropolitan","6543"
3,"h",645000,12.4,1,4,661,126.55679083982,1982.55454882779,"Hume City Council",-37.7009,144.9776,"Northern Metropolitan","5070"
1,"u",250000,11.8,1,1,0,36,1960,"Glen Eira City Council",-37.9028,145.0475,"Southern Metropolitan","3578"
3,"h",1415000,8.2,1,6,970,173.147162619532,1955,"Maribyrnong City Council",-37.7958,144.8645,"Western Metropolitan","5058"
2,"h",765000,13.9,1,2,672,111,1958,"Brimbank City Council",-37.7812,144.8121,"Western Metropolitan","2185"
3,"h",830000,13.5,1,2,971,113,1960,"Moonee Valley City Council",-37.7186,144.876,"Western Metropolitan","3464"
3,"h",2000000,3.3,2,1,211,147,1900,"Port Phillip City Council",-37.847,144.9575,"Southern Metropolitan","3280"
3,"h",1540000,6.4,1,2,592,179.724684301114,1947.91222302191,"Darebin City Council",-37.7755,145.0288,"Northern Metropolitan","2211"
3,"u",730000,13.8,2,1,70,136.001850426439,1977.66069636132,"Hobsons Bay City Council",-37.868,144.8287,"Western Metropolitan","5301"
3,"h",678000,13.8,1,2,606,87,1950,"Hobsons Bay City Council",-37.8608,144.8124,"Western Metropolitan","5301"
1,"u",324000,6.3,1,1,0,69.2703302445706,1978.76991883258,"Stonnington City Council",-37.8537,145.0114,"Southern Metropolitan","4836"
4,"h",1640000,5.9,3,2,562,204,1890,"Moonee Valley City Council",-37.782,144.903,"Western Metropolitan","6567"
6,"h",1430000,5.9,2,1,461,286,1900,"Moonee Valley City Council",-37.78,144.9295,"Western Metropolitan","6567"
2,"u",610000,5.9,1,1,301,104,1995,"Moonee Valley City Council",-37.7791,144.914,"Western Metropolitan","6567"
3,"h",940000,5.9,3,1,491,127,1950,"Moonee Valley City Council",-37.7727,144.9136,"Western Metropolitan","6567"
2,"h",1445000,11,1,2,704,174.59160254499,1949.88487205424,"Boroondara City Council",-37.8745,145.0738,"Southern Metropolitan","3052"
3,"u",665000,10.5,2,1,289,129.04089289109,1981.55951054798,"Moonee Valley City Council",-37.7644,144.8657,"Western Metropolitan","4502"
3,"h",560500,10.5,1,1,177,114.19333231732,1985.36797428909,"Moonee Valley City Council",-37.7664,144.8583,"Western Metropolitan","4502"
5,"h",2020000,9.7,2,2,611,216.772648453173,1945.6399447577,"Boroondara City Council",-37.8116,145.0789,"Southern Metropolitan","5682"
2,"u",460000,9.7,1,1,0,79,1950,"Boroondara City Council",-37.8152,145.0839,"Southern Metropolitan","5682"
4,"h",2170000,9.2,2,2,1040,229.603653272731,1943.67869602818,"Boroondara City Council",-37.7992,145.0907,"Southern Metropolitan","7809"
